id_hc,status_ordem_obra,dt_ordem_obra,tipo_pendencia_obra,status_atividade_obra,dt_atividade_obra
A00002OH7|08968491,COMPLETED,2022-08-24 08:52:08+00:00,,,
A00003I8F|8003H000000MRUUAAM,COMPLETED,2022-09-27 16:15:30+00:00,,,
A00003T3O|73869173553,COMPLETED,2022-10-11 22:09:37+00:00,,,
A00004MPB|23007||327782,COMPLETED,2023-01-23 12:56:29+00:00,,,
A00004428|8003H000000NCO3AAO,CANCELLED,2022-10-18 18:06:46+00:00,CLIENTE,,
A000045YF|3169065,COMPLETED,2022-10-26 10:04:47+00:00,,,
A000065MW|25004§326578,COMPLETED,2023-01-19 12:57:20+00:00,,,
A000046YJ|22434§293796§1409084,COMPLETED,2022-10-27 16:52:04+00:00,,,
A00006ORV|8003H000000OCPWAAC,COMPLETED,2023-02-06 13:24:11+00:00,,Encerrado,2023-07-02 11:34:44
A00003VK5|8003H000000MXFMAAU,CANCELLED,2022-10-05 09:20:46+00:00,CLIENTE,,
A00003CVR|08982837,COMPLETED,2022-09-23 17:18:56+00:00,,,
A00006ES0|8003H000000OU3LAAW,COMPLETED,2023-01-26 08:37:07+00:00,,,
A00003S91|8003H000000N6KJAAS,COMPLETED,2022-10-11 20:55:59+00:00,,,
A00003B2V|8003H000000MLFLAAM,COMPLETED,2022-09-20 14:26:03+00:00,,,
A00006S7Z|8003H000000OZZOAAG,CANCELLED,2023-02-02 14:44:43+00:00,CLIENTE,Em Tramitação,2023-09-02 19:39:01
A00005Z4A|8003H000000OBGUAAW,CANCELLED,2023-01-05 10:55:54+00:00,CLIENTE,,
A00005T4Y|202301051322794,COMPLETED,2023-01-05 18:37:36+00:00,,,
A000062EI|8003H000000OJD8AAO,COMPLETED,2023-01-12 19:28:10+00:00,CLIENTE,,
A00005CLR|8003H000000NXJCAA0,COMPLETED,2022-12-16 11:39:50+00:00,,,
A00006ZX1|8003H000000OLBZAAS,COMPLETED,2023-02-15 21:48:48+00:00,,Encerrado,2023-02-16 16:19:25
A00002OGZ|8003H000000LWSNAAA,COMPLETED,2022-08-19 17:25:51+00:00,,,
A00005FGZ|8003H000000NYKJAAS,CANCELLED,2022-12-18 20:56:57+00:00,CLIENTE,,
A00002HJV|08046626651,COMPLETED,2022-08-12 14:51:56+00:00,,,
A00005E25|8003H000000NVHIAAK,CANCELLED,2022-12-14 10:36:45+00:00,CLIENTE,,
A000049A4|8003H000000NIOBAA4,COMPLETED,2022-10-25 20:28:08+00:00,,,
A00003V9V|8003H000000N9MFAA0,COMPLETED,2022-10-14 23:33:55+00:00,,,
A00005DZA|FO1383,COMPLETED,2022-12-15 17:20:38+00:00,,,
A00003SG9|8003H000000MZSKAA2,COMPLETED,2022-10-07 09:25:25+00:00,,,
A00006V2M|138973,COMPLETED,2023-02-07 19:31:43+00:00,,Encerrado,2023-08-02 11:25:16
